erakond,huvitisesaaja,limiit,kulud,kasutamata,kasutatud_pct,volituste_algus
Eesti Keskerakond,Aleksandr Tšaplõgin,14598.45,13585.96,1012.49,"93,1%",01.04.2023
Eesti Keskerakond,Aleksei Jevgrafov,14328.11,11759.00,2569.11,"82,1%",
Eesti Keskerakond,Anastassia Kovalenko-Kõlvart,14598.45,6452.19,8146.26,"44,2%",01.04.2023
Eesti Keskerakond,Andre Hanimägi,14598.45,9100.04,5498.41,"62,3%",01.04.2023
Eesti Keskerakond,Andrei Korobeinik,14598.45,10304.28,4294.17,"70,6%",
Eesti Keskerakond,Enn Eesmaa,14274.04,7689.16,6584.88,"53,9%",07.04.2023
Eesti Keskerakond,Ester Karuse,14598.45,14039.72,558.73,"96,2%",
Eesti Keskerakond,Jaak Aab,14598.45,12015.12,2583.33,"82,3%",01.04.2023
Eesti Keskerakond,Jüri Ratas,14598.45,1894.56,12703.89,"13,0%",01.04.2023
Eesti Keskerakond,Kersti Sarapuu,14328.11,12198.08,2130.03,"85,1%",
Eesti Keskerakond,Lauri Laats,14598.45,14531.78,66.67,"99,5%",01.04.2023
Eesti Keskerakond,Tanel Kiik,14598.45,8009.66,6588.79,"54,9%",
Eesti Keskerakond,Vadim Belobrovtsev,14598.45,10866.83,3731.62,"74,4%",01.04.2023
Eesti Reformierakond,Hanno Pevkur,919.16,0.00,919.16,"0,0%",01.-17.04.2023
Eesti Reformierakond,Heidy Purga,919.16,498.49,420.67,"54,2%",
Eesti Reformierakond,Kalle Laanet,919.16,328.63,590.53,"35,8%",01.-17.04.2023
Eesti Reformierakond,Kristen Michal,919.16,289.67,629.49,"31,5%",
Eesti Reformierakond,Mart Võrklaev,919.16,174.27,744.89,"19,0%",01.-17.04.2023
Eesti Reformierakond,Signe Riisalo,919.16,0.00,919.16,"0,0%",01.-17.04.2023
Eesti Reformierakond,Kaja Kallas,919.19,0.00,919.19,"0,0%",
Eesti Reformierakond,Hanah Lahe,13679.29,8090.26,5589.03,"59,1%",18.04.2023
Eesti Reformierakond,Katrin Kuusemäe,13679.29,9702.54,3976.75,"70,9%",
Eesti Reformierakond,Mait Klaassen,13679.29,5793.44,7885.85,"42,4%",18.04.2023
Eesti Reformierakond,Mati Raidma,13679.29,10226.76,3452.53,"74,8%",18.04.2023
Eesti Reformierakond,Õnne Pillak,13679.29,10431.43,3247.86,"76,3%",
Eesti Reformierakond,Urve Tiidus,13679.29,2034.73,11644.56,"14,9%",18.04.2023
Eesti Reformierakond,Valdo Randpere,13679.29,8073.75,5605.54,"59,0%",
Eesti Reformierakond,Margit Sutrop,14274.04,8794.61,5479.43,"61,6%",07.04.2023
Eesti Reformierakond,Eero Merilind,14328.11,14227.88,100.23,"99,3%",06.04.2023
Eesti Reformierakond,Aivar Sõerd,14598.45,10014.47,4583.98,"68,6%",
Eesti Reformierakond,Andres Sutt,14598.45,10376.34,4222.11,"71,1%",01.04.2023
Eesti Reformierakond,Andrus Seeme,14598.45,12242.38,2356.07,"83,9%",
Eesti Reformierakond,Annely Akkermann,14598.45,12667.61,1930.84,"86,8%",01.04.2023
Eesti Reformierakond,Anti Haugas,14598.45,11875.51,2722.94,"81,3%",01.04.2023
Eesti Reformierakond,Ants Laaneots,14598.45,2772.25,11826.20,"19,0%",
Eesti Reformierakond,Eerik-Niiles Kross,14598.45,7245.29,7353.16,"49,6%",01.04.2023
Eesti Reformierakond,Erkki Keldo,14598.45,13655.01,943.44,"93,5%",
Eesti Reformierakond,Jürgen Ligi,14598.45,8766.38,5832.07,"60,1%",01.04.2023
Eesti Reformierakond,Karmen Joller,14598.45,3286.34,11312.11,"22,5%",01.04.2023
Eesti Reformierakond,Kristina Šmigun-Vähi,14598.45,9185.55,5412.90,"62,9%",
Eesti Reformierakond,Kristo Enn Vaga,14598.45,13615.87,982.58,"93,3%",01.04.2023
Eesti Reformierakond,Liina Kersna,14598.45,11734.63,2863.82,"80,4%",
Eesti Reformierakond,Luisa Rõivas,14598.45,10701.83,3896.62,"73,3%",01.04.2023
Eesti Reformierakond,Maido Ruusmann,14598.45,14005.64,592.81,"95,9%",01.04.2023
Eesti Reformierakond,Mario Kadastik,14598.45,12009.53,2588.92,"82,3%",
Eesti Reformierakond,Maris Lauri,14598.45,2390.48,12207.97,"16,4%",01.04.2023
Eesti Reformierakond,Marko Mihkelson,14598.45,14584.78,13.67,"99,9%",
Eesti Reformierakond,Meelis Kiili,14598.45,7357.13,7241.32,"50,4%",01.04.2023
Eesti Reformierakond,Pärtel-Peeter Pere,14598.45,14074.82,523.63,"96,4%",01.04.2023
Eesti Reformierakond,Pipi-Liis Siemann,14598.45,9023.64,5574.81,"61,8%",
Eesti Reformierakond,Signe Kivi,14598.45,7606.91,6991.54,"52,1%",01.04.2023
Eesti Reformierakond,Siim Kallas,14598.45,3571.07,11027.38,"24,5%",
Eesti Reformierakond,Timo Suslov,14598.45,8244.38,6354.07,"56,5%",
Eesti Reformierakond,Toomas Kivimägi,14598.45,11844.56,2753.89,"81,1%",01.04.2023
Eesti Reformierakond,Urmas Kruuse,14598.45,9500.14,5098.31,"65,1%",
Eesti Reformierakond,Vilja Toomast,14598.45,13017.80,1580.65,"89,2%",
Eesti Reformierakond,Yoko Alender,14598.45,10071.43,4527.02,"69,0%",01.04.2023
Erakond Eesti 200,Kristina Kallas,919.16,91.62,827.54,"10,0%",
Erakond Eesti 200,Margus Tsahkna,919.16,0.00,919.16,"0,0%",01.-17.04.2023
Erakond Eesti 200,Johanna-Maria Lehtme,2616.21,0.00,2616.21,"0,0%",
Erakond Eesti 200,Züleyxa Izmailova,11982.24,864.80,11117.44,"7,2%",
Erakond Eesti 200,Juku-Kalle Raid,13679.29,2032.54,11646.75,"14,9%",18.04.2023
Erakond Eesti 200,Tanel Tein,13679.29,1901.25,11778.04,"13,9%",
Erakond Eesti 200,Grigore-Kalev Stoicescu,14598.45,1653.74,12944.71,"11,3%",01.04.2023
Erakond Eesti 200,Hendrik Johannes Terras,14598.45,2146.70,12451.75,"14,7%",
Erakond Eesti 200,Igor Taro,14598.45,4849.40,9749.05,"33,2%",
Erakond Eesti 200,Irja Lutsar,14598.45,997.94,13600.51,"6,8%",01.04.2023
Erakond Eesti 200,Kadri Tali,14598.45,6962.65,7635.80,"47,7%",
Erakond Eesti 200,Lauri Hussar,14598.45,0.00,14598.45,"0,0%",01.04.2023
Erakond Eesti 200,Liisa-Ly Pakosta,14598.45,13959.34,639.11,"95,6%",
Erakond Eesti 200,Marek Reinaas,14598.45,1144.82,13453.63,"7,8%",
Erakond Eesti 200,Peeter Tali,14598.45,5444.94,9153.51,"37,3%",01.04.2023
Erakond Eesti 200,Tarmo Tamm,14598.45,7560.28,7038.17,"51,8%",
Erakond Eesti 200,Toomas Uibo,14598.45,6925.41,7673.04,"47,4%",01.04.2023
Fraktsiooniväline,Kalle Grünthal,14328.11,10546.69,3781.42,"73,6%",
Fraktsiooniväline,Jaanus Karilaid,14598.45,7187.74,7410.71,"49,2%",01.04.2023
Fraktsiooniväline,Maria Jufereva-Skuratovski,14598.45,14598.45,0.00,"100,0%",01.04.2023
Fraktsiooniväline,Tõnis Mölder,14598.45,14576.89,21.56,"99,9%",
Isamaa,Mart Maastik,14328.11,12703.43,1624.68,"88,7%",06.04.2023
Isamaa,Aivar Kokk,14598.45,13144.56,1453.89,"90,0%",
Isamaa,Andres Metsoja,14598.45,10338.74,4259.71,"70,8%",01.04.2023
Isamaa,Helir-Valdor Seeder,14598.45,9355.19,5243.26,"64,1%",01.04.2023
Isamaa,Priit Sibul,14598.45,11807.82,2790.63,"80,9%",
Isamaa,Riina Solman,14598.45,9610.97,4987.48,"65,8%",01.04.2023
Isamaa,Tõnis Lukas,14598.45,4946.99,9651.46,"33,9%",
Isamaa,Urmas Reinsalu,14598.45,11317.45,3281.00,"77,5%",01.04.2023
Eesti Konservatiivne Rahvaerakond,Alar Laneman,14598.45,10699.45,3899.00,"73,3%",01.04.2023
Eesti Konservatiivne Rahvaerakond,Anti Poolamets,14598.45,13250.08,1348.37,"90,8%",
Eesti Konservatiivne Rahvaerakond,Ants Frosch,14598.45,12671.84,1926.61,"86,8%",01.04.2023
Eesti Konservatiivne Rahvaerakond,Arvo Aller,14598.45,14590.70,7.75,"99,9%",
Eesti Konservatiivne Rahvaerakond,Evelin Poolamets,14598.45,10775.34,3823.11,"73,8%",01.04.2023
Eesti Konservatiivne Rahvaerakond,Helle-Moonika Helme,14598.45,11725.56,2872.89,"80,3%",01.04.2023
Eesti Konservatiivne Rahvaerakond,Henn Põlluaas,14598.45,13632.42,966.03,"93,4%",
Eesti Konservatiivne Rahvaerakond,Jaak Valge,14598.45,12499.14,2099.31,"85,6%",01.04.2023
Eesti Konservatiivne Rahvaerakond,Kert Kingo,14598.45,10843.70,3754.75,"74,3%",
Eesti Konservatiivne Rahvaerakond,Leo Kunnas,14598.45,9140.67,5457.78,"62,6%",01.04.2023
Eesti Konservatiivne Rahvaerakond,Mart Helme,14598.45,12372.29,2226.16,"84,8%",01.04.2023
Eesti Konservatiivne Rahvaerakond,Martin Helme,14598.45,14598.45,0.00,"100,0%",
Eesti Konservatiivne Rahvaerakond,Rain Epler,14598.45,14598.45,0.00,"100,0%",01.04.2023
Eesti Konservatiivne Rahvaerakond,Rene Kokk,14598.45,3546.77,11051.68,"24,3%",
Eesti Konservatiivne Rahvaerakond,Siim Pohlak,14598.45,0.00,14598.45,"0,0%",01.04.2023
Eesti Konservatiivne Rahvaerakond,Varro Vooglaid,14598.45,10637.09,3961.36,"72,9%",01.04.2023
Sotsiaaldemokraatlik Erakond,Lauri Läänemets,919.16,0.00,919.16,"0,0%",
Sotsiaaldemokraatlik Erakond,Madis Kallas,919.16,0.00,919.16,"0,0%",01.-17.04.2023
Sotsiaaldemokraatlik Erakond,Riina Sikkut,919.16,0.00,919.16,"0,0%",
Sotsiaaldemokraatlik Erakond,Eduard Odinets,13679.29,13677.33,1.96,"100,0%",18.04.2023
Sotsiaaldemokraatlik Erakond,Priit Lomp,13679.29,12888.51,790.78,"94,2%",18.04.2023
Sotsiaaldemokraatlik Erakond,Reili Rand,13679.29,11817.79,1861.50,"86,4%",
Sotsiaaldemokraatlik Erakond,Tiit Maran,14328.11,4279.97,10048.14,"29,9%",06.04.2023
Sotsiaaldemokraatlik Erakond,Anti Allas,14598.45,8245.46,6352.99,"56,5%",
Sotsiaaldemokraatlik Erakond,Heljo Pikhof,14598.45,11901.28,2697.17,"81,5%",
Sotsiaaldemokraatlik Erakond,Helmen Kütt,14598.45,9732.33,4866.12,"66,7%",01.04.2023
Sotsiaaldemokraatlik Erakond,Jevgeni Ossinovski,14598.45,9608.94,4989.51,"65,8%",
Sotsiaaldemokraatlik Erakond,Raimond Kaljulaid,14598.45,13648.34,950.11,"93,5%",01.04.2023
,KOKKU,1472172.62,944606.82,527565.80,"64,2%",
